	6F0-01-01 	0406 	0700 	0009 
 	6F0-01-02 	0007 	0000 	 
 	6F0-02-01 	1A03 	E805 	787B 
 	6F0-02-02 	0064 	3795 	 
 	6F0-03-01 	01F4 	030B 	B8B5 
 	6F0-03-02 	0013 	0917 	 
 	6F0-04-01 	0101 	0101 	0100 
 	6F0-04-02 	0101 	01FF 	 
 	6F0-05-01 	1E01 	010A 	0127 
 	6F0-06-01 	3200 	002F 	 
 	6F0-07-01 	F0FF 	FF55 	FF40 
 	6F0-07-02 	F7DF 	FC00 	D1 
 	6F1-01-01 	70E6 	E6F2 	99C0 
 	6F1-01-02 	1A1A 	400F 	017E 
 	6F1-01-03 	F40A 	07D0 	01D1 
 	6F1-01-04 	901E 	0000 	00AA 
 	6F1-01-05 	0000 	0000 	00FD 
 	6F1-01-06 	0000 	0000 	00FE 
 	6F1-01-07 	FD7F 	FF5C 	7147 
 	6F1-01-08 	FD54 	5557 	5451 
 	6F1-01-09 	0000 	0000 	0001 
 	6F1-01-10 	0000 	5151 	51FB 
 	703-162-01 	0000 	0000 	0050 
 	703-162-02 	0000 	0000 	0060 
 	703-162-03 	0000 	0000 	0070 
 	703-162-04 	0000 	0000 	0080 
 	703-162-05 	0000 	0000 	0090 
 	703-162-06 	0000 	0000 	00A0 
 	703-162-07 	0000 	B0 	 
 	703-163-01 	4100 	0000 	0074 
 	703-163-02 	0000 	0000 	0070 
 	703-163-03 	0000 	000C 	0340 
 	703-163-04 	0000 	0000 	0090 
 	703-163-05 	0000 	0000 	00A0 
 	703-163-06 	0000 	0000 	00B0 
 	703-163-07 	0000 	C0 	 
 	706-01-01 	CE58 	A055 	8EB8 
 	706-01-02 	700C 	0000 	008C 
 	706-02-01 	6B6B 	FFCC 	41F2 
 	706-02-02 	E05F 	FE05 	0255 
 	706-03-01 	4000 	0200 	0053 
 	706-03-02 	0000 	0000 	0012 
 	706-04-01 	0A03 	081E 	054A 
 	706-04-02 	8A05 	070A 	03B6 
 	706-05-01 	0C01 	0000 	0020 
 	706-05-02 	0000 	0000 	0014 
 	706-06-01 	8000 	0000 	0094 
